MSE_train, MSE_test, R2_train, R2_test, error, bias, variance
1.225448317608613979e+04,1.234675426267988405e+04,3.415868320101056455e-02,3.470023327653237732e-02,1.234693825157494030e+04,1.234616458636677271e+04,7.736652081676437254e-01
5.718400616516117225e+03,5.689918258525136480e+03,5.493022837374323952e-01,5.551481263191706539e-01,5.690536704914600705e+03,5.689922897790767820e+03,6.138071238320447209e-01
3.792967498620049355e+03,3.751219760488271277e+03,7.010559588027454048e-01,7.067203669329501503e-01,3.751914649603869293e+03,3.751160571208768943e+03,7.540783951001079899e-01
3.503096264953956506e+03,3.480361332326209322e+03,7.239022600300832888e-01,7.278967483492571056e-01,3.481303170369700183e+03,3.480296524388086709e+03,1.006645981612746876e+00
1.877306007566177186e+03,1.862041763355329522e+03,8.520394797292898392e-01,8.544209723822494551e-01,1.862660426773205927e+03,1.861924809183748721e+03,7.356175894570455842e-01
1.790545170542291316e+03,1.763964750243414983e+03,8.588775650139681694e-01,8.620888756921932794e-01,1.765014754000271296e+03,1.764057265759020538e+03,9.574882412505330009e-01
1.107422614435108017e+03,1.093861339332555190e+03,9.127181048103087946e-01,9.144792167057879118e-01,1.094730726487045786e+03,1.093932740344681633e+03,7.979861423640777218e-01
9.743492950789801625e+02,9.606683053629112692e+02,9.232063243582819823e-01,9.248925773254866867e-01,9.616206336164527784e+02,9.606503300981540860e+02,9.703035182989044882e-01
7.627856199534618327e+02,7.370107085621059468e+02,9.398807883592457113e-01,9.423786810758733035e-01,7.375859400819014127e+02,7.368731836842039229e+02,7.127563976972659532e-01
6.550894388766910197e+02,6.293854789329657251e+02,9.483689000038391104e-01,9.507930875542297544e-01,6.301065309119378526e+02,6.293378937522644492e+02,7.686371596733972966e-01
6.073767803539569741e+02,5.760488984340881871e+02,9.521293896363604015e-01,9.549630732539547973e-01,5.768855726777796917e+02,5.760544314568437585e+02,8.311412209358179926e-01
4.819284297444152116e+02,4.584945271381458838e+02,9.620166446435257646e-01,9.641537645704811865e-01,4.594047225890772097e+02,4.586232896042392895e+02,7.814329848377606913e-01
4.417450931351253303e+02,4.211969949599663323e+02,9.651837081733717350e-01,9.670697778274861545e-01,4.220938057348218422e+02,4.212977329397077710e+02,7.960727951139495717e-01
3.439144428329386756e+02,3.331080806346890313e+02,9.728942646083876822e-01,9.739567868859022592e-01,3.339630101281894667e+02,3.331748926667450519e+02,7.881174614444240722e-01
3.138207645770511363e+02,3.050895627131525885e+02,9.752661082362537037e-01,9.761473438726357976e-01,3.059342742249114622e+02,3.051127838029367467e+02,8.214904219746415048e-01
2.524383972416571282e+02,2.464531398704550327e+02,9.801039806820821543e-01,9.807316843468479872e-01,2.472204377808402569e+02,2.465077676164076763e+02,7.126701644327808616e-01
2.229810919071606463e+02,2.178886168420682168e+02,9.824256683587310190e-01,9.829649293624399542e-01,2.186910143343355628e+02,2.179137729230765217e+02,7.772414112589659529e-01
1.944910865046318520e+02,1.888169628262044171e+02,9.846711179577224415e-01,9.852378231321493596e-01,1.895274725466344421e+02,1.886918087360096479e+02,8.356638106248372999e-01
1.722618868346171439e+02,1.677760059814113447e+02,9.864231199942156136e-01,9.868828571469033806e-01,1.619974353184085203e+02,1.569319277118881359e+02,5.065507606520426087e+00
1.544708078849029107e+02,1.496411461395043716e+02,9.878253300158996719e-01,9.883006853147376924e-01,1.555497850898733532e+02,1.476245131042996661e+02,7.925271985573754563e+00
1.702963612495165364e+02,1.726451026690079402e+02,9.865780335709073423e-01,9.865021791325285783e-01,1.444422605161627757e+02,1.320258863021680042e+02,1.241637421399477148e+01
1.353782256434285500e+02,1.328024109698972950e+02,9.893301184682746774e-01,9.896171792519558030e-01,1.433884033744929809e+02,1.260918017635335389e+02,1.729660161095943138e+01
1.339323084010026434e+02,1.322751312885006598e+02,9.894440789342805465e-01,9.896584032807670406e-01,1.371373544745350443e+02,1.190290874206246485e+02,1.810826705391043490e+01
1.249663889809990422e+02,1.236178626687394058e+02,9.901507309647659127e-01,9.903352499403282883e-01,1.317054217832977940e+02,1.131578142884298188e+02,1.854760749486791127e+01
2.401748688175433131e+02,2.476912402107851960e+02,9.810705349032232681e-01,9.806348866019286570e-01,1.307050704602960423e+02,1.081003785077617749e+02,2.260469195253432773e+01
1.334961407774158317e+02,1.353531245096057773e+02,9.894784556359216277e-01,9.894177581626172335e-01,1.237006505366492632e+02,1.042066644769731170e+02,1.949398605967612852e+01
1.063237397742220338e+02,1.065179647564251297e+02,9.916200577898769408e-01,9.916721622263081626e-01,1.224206027546934621e+02,1.007012972614807325e+02,2.171930549321271897e+01
1.018666450737219265e+02,1.022217117304905543e+02,9.919713452454775870e-01,9.920080539072704262e-01,1.239405826023858594e+02,9.852909867592394733e+01,2.541148392646199028e+01
9.746709678565864010e+01,9.766931160810487711e+01,9.923180971607403755e-01,9.923639718013727018e-01,1.168820111207024723e+02,9.581109244969528049e+01,2.107091867100720251e+01
1.012220666810127341e+02,1.016797454853213907e+02,9.920221479137458775e-01,9.920504261679394808e-01,1.120642022940053266e+02,9.223931940473813995e+01,1.982488288926723285e+01
